datetime,sessionTime,RRi
260627172350.202,0.983,808.228
260627172351.198,1.981,806.567
260627172352.199,2.982,807.134
260627172353.198,3.980,805.744
260627172354.200,4.983,796.596
260627172355.200,5.982,794.770
260627172356.198,6.980,804.939
260627172357.199,7.982,792.156
260627172358.203,8.985,779.973
260627172359.198,9.980,764.253
260627172400.199,10.982,770.031
260627172401.198,11.981,770.118
260627172402.199,12.982,764.825
260627172403.200,13.982,764.903
260627172405.992,14.981,761.710
260627172406.991,15.980,753.968
